,Produit,Année,Unité,Valeur
175,Patates douces,2013,,150.93
176,Patates douces,2014,,153.06
177,Patates douces,2015,,110.51
178,Patates douces,2016,,36.44
179,Patates douces,2017,,116.25
180,Patates douces,2018,,113.84
181,Patates douces,2019,,115.45
182,Patates douces,2020,,123.85
183,Patates douces,2021,,129.05
184,Patates douces,2022,,132.05
185,Patates douces,2023,,103.4
186,Patates douces,2024,,84.85
187,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2010,,21.58
188,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2011,,22.98
189,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2012,,23.63
190,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2013,,43.38
191,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2014,,119.18
192,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2015,,102.74
193,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2016,,78.08
194,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2017,,123.29
195,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2018,,129.45
196,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2019,,110.27
197,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2020,,121.0
198,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2021,,120.24
199,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2022,,117.17
200,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2023,,119.47
201,"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2024,,118.96
202,Riz,2010,,77.54
203,Riz,2011,,79.04
204,Riz,2012,,113.34
205,Riz,2013,,118.03
206,Riz,2014,,104.18
207,Riz,2015,,99.26
208,Riz,2016,,96.56
209,Riz,2017,,98.96
210,Riz,2018,,102.46
211,Riz,2019,,103.56
212,Riz,2020,,112.58
213,Riz,2021,,116.58
214,Riz,2022,,119.45
215,Riz,2023,,128.95
216,Riz,2024,,126.9
217,Sésame,2010,,77.53
218,Sésame,2011,,89.37
219,Sésame,2012,,109.02
220,Sésame,2013,,109.02
221,Sésame,2014,,104.95
222,Sésame,2015,,92.8
223,Sésame,2016,,102.26
224,Sésame,2017,,104.87
225,Sésame,2018,,99.98
226,Sésame,2019,,97.35
227,Sésame,2020,,95.82
228,Sésame,2021,,100.68
229,Sésame,2022,,101.45
230,Sésame,2023,,102.01
231,Sésame,2024,,102.58
232,Sorgho,2010,,86.23
233,Sorgho,2011,,85.74
234,Sorgho,2012,,88.42
235,Sorgho,2013,,100.56
236,Sorgho,2014,,108.4
237,Sorgho,2015,,95.46
238,Sorgho,2016,,96.14
239,Sorgho,2017,,97.33
240,Sorgho,2018,,97.71
241,Sorgho,2019,,99.59
242,Sorgho,2020,,98.37
243,Sorgho,2021,,97.62
244,Sorgho,2022,,98.97
245,Sorgho,2023,,105.73
246,Sorgho,2024,,109.26
247,Taro,2010,,131.11
248,Taro,2011,,132.69
249,Taro,2012,,73.71
250,Taro,2013,,129.77
251,Taro,2014,,74.94
252,Taro,2015,,107.87
253,Taro,2016,,117.19
254,Taro,2017,,95.88
255,Taro,2018,,106.79
256,Taro,2019,,112.74
257,Taro,2020,,122.21
258,Taro,2021,,124.11
259,Taro,2022,,125.85
260,Taro,2023,,119.98
261,Taro,2024,,118.81
262,Agriculture,2010,,91.08
263,Agriculture,2011,,101.07
264,Agriculture,2012,,97.53
265,Agriculture,2013,,88.95
266,Agriculture,2014,,101.19
267,Agriculture,2015,,97.27
268,Agriculture,2016,,101.54
269,Agriculture,2017,,106.63
270,Agriculture,2018,,112.13
271,Agriculture,2019,,113.99
272,Agriculture,2020,,112.73
273,Agriculture,2021,,116.58
274,Agriculture,2022,,122.64
275,Agriculture,2023,,126.84
276,Agriculture,2024,,128.96
277,"Céréales, primaires",2010,,82.64
278,"Céréales, primaires",2011,,83.56
279,"Céréales, primaires",2012,,100.61
280,"Céréales, primaires",2013,,98.76
281,"Céréales, primaires",2014,,102.72
282,"Céréales, primaires",2015,,98.55
283,"Céréales, primaires",2016,,98.73
284,"Céréales, primaires",2017,,102.22
285,"Céréales, primaires",2018,,105.18
286,"Céréales, primaires",2019,,107.67
287,"Céréales, primaires",2020,,107.42
288,"Céréales, primaires",2021,,111.13
289,"Céréales, primaires",2022,,113.95
290,"Céréales, primaires",2023,,121.22
291,"Céréales, primaires",2024,,121.33
292,"Racines&Tubercules, total",2010,,87.8
293,"Racines&Tubercules, total",2011,,92.53
294,"Racines&Tubercules, total",2012,,100.67
295,"Racines&Tubercules, total",2013,,84.49
296,"Racines&Tubercules, total",2014,,102.47
297,"Racines&Tubercules, total",2015,,97.96
298,"Racines&Tubercules, total",2016,,99.57
299,"Racines&Tubercules, total",2017,,101.15
300,"Racines&Tubercules, total",2018,,105.46
301,"Racines&Tubercules, total",2019,,107.7
302,"Racines&Tubercules, total",2020,,114.17
303,"Racines&Tubercules, total",2021,,117.4
304,"Racines&Tubercules, total",2022,,119.93
305,"Racines&Tubercules, total",2023,,119.7
306,"Racines&Tubercules, total",2024,,121.12
307,Vegetables and Fruit Primary,2010,,95.45
