Annee,Culture,Exportations_Tonnes,Importations_Tonnes,Pertes_Post_Recolte_Tonnes,Production_Tonnes,Rendement_Kg_Ha,Semences_Utilisees_Tonnes,Superficie_Irriguee_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Engrais_National_Total_Tonnes,Population_Agricole_Totale
2010,Sorgho,0.0,0.0,,244674.0,1209.347614,,,202319.0,202319.0,24874.1,4135000.0
2011,Sorgho,0.0,0.0,,243267.0,1101.169217,,,220917.0,220917.0,25854.9,4135000.0
2012,Sorgho,0.0,0.0,,250892.0,832.0,,,345111.0,345111.0,25861.2,4235333.333333333
2013,Sorgho,0.0,0.0,,285316.0,944.3703392,,,302123.0,302123.0,34767.3,4339333.333333333
2014,Sorgho,20.0,0.0,,307579.0,934.6032588,,,313039.0604,313039.0604,36537.7,4446333.333333333
2015,Sorgho,120.0,0.0,,270863.0,847.7901211,,,304185.0,304185.0,32970.0,4557000.0
2016,Sorgho,5.958,0.0,,272776.016,859.9794318,,,317189.0,317189.0,41704.45,4670666.666666667
2017,Sorgho,16.422,0.0,,276167.2578,875.21587,,,315541.8763,315541.8763,28109.75,4785333.333333333
2018,Sorgho,15.68,0.0,,277239.9621,869.5423826,,,318834.329,318834.329,28109.75,4901666.666666667
2019,Sorgho,7.84,0.0,,282581.714987383,889.108269665341,,,317825.988834573,317825.988834573,28109.75,5018666.666666667
2020,Sorgho,0.0,1.2,,279105.203482086,900.0,,,311244.574553312,311244.574553312,28109.75,5137333.333333333
2021,Sorgho,0.0,37.1,,276986.0,876.443673781935,,,316034.0,316034.0,28109.75,5257666.666666667
2022,Sorgho,0.0,73.0,,280809.0,884.0,,,317571.0,317571.0,28109.75,5378333.333333333
