Annee,Culture,Exportations_Tonnes,Importations_Tonnes,Pertes_Post_Recolte_Tonnes,Production_Tonnes,Rendement_Kg_Ha,Semences_Utilisees_Tonnes,Superficie_Irriguee_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Engrais_National_Total_Tonnes,Population_Agricole_Totale
2004,Café vert,4396.0,31.0,,9300.0,287.0825019,,,37767.9324,37767.9324,10423.5,4135000.0
2005,Café vert,4396.0,7.0,,7200.0,287.0825019,,,37767.9324,37767.9324,11329.0,4135000.0
2006,Café vert,4396.0,7.0,,8900.0,287.0825019,,,37767.9324,37767.9324,8466.5,4135000.0
2007,Café vert,4396.0,72.0,,9300.0,287.0825019,,,37767.9324,37767.9324,10199.0,4135000.0
2008,Café vert,4396.0,5.0,,9143.0,287.0825019,,,37767.9324,37767.9324,5230.0,4135000.0
2009,Café vert,4659.0,1.0,,9567.878130000001,287.0825019,,,37767.9324,37767.9324,9870.5,4135000.0
2010,Café vert,10621.0,16.0,,9992.75626,287.0825019,,,37767.9324,37767.9324,24874.1,4135000.0
2011,Café vert,11883.0,15.0,,10417.63439,287.0825019,,,37767.9324,37767.9324,25854.9,4135000.0
2012,Café vert,3986.0,41.0,,10842.51252,287.0825019,,,37767.9324,37767.9324,25861.2,4235333.333333333
2013,Café vert,4564.0,21.0,,10950.0,308.155278,,,35534.03359,35534.03359,34767.3,4339333.333333333
2014,Café vert,7864.0,39.0,,15500.0,240.0199601,,,38076.0,38076.0,36537.7,4446333.333333333
2015,Café vert,10849.0,13.0,,16092.7,397.3633722,,,40498.7,40498.7,32970.0,4557000.0
2016,Café vert,4202.0,12.0,,17933.5,438.3866706,,,40907.95,40907.95,41704.45,4670666.666666667
2017,Café vert,1940.0,78.0,,18475.97457,448.0425922,,,41237.09418,41237.09418,28109.75,4785333.333333333
2018,Café vert,2582.824,2.0,,19076.47234,457.5476529,,,41949.94933,41949.94933,28109.75,4901666.666666667
2019,Café vert,3225.648,4.0,,21222.1587997233,500.143761186831,,,42693.760496778,41949.94933,28109.75,5018666.666666667
2020,Café vert,3868.4719999999998,0.0,,23713.1633966715,500.247749429256,,,43682.4539465835,41949.94933,28109.75,5137333.333333333
2021,Café vert,4511.296,63.3295,,23000.0,500.247749429256,,,43900.0,41949.94933,28109.75,5257666.666666667
2022,Café vert,5154.12,126.659,,25132.3493909927,532.084402313811,,,44393.8118656883,41949.94933,28109.75,5378333.333333333
