Annee,Culture,Rendement_Kg_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Production_Tonnes,Superficie_Irriguee_Ha,Semences_Utilisees_Tonnes,Engrais_National_Total_Tonnes
2003,Haricots (secs),525.0,145654.0,145654.0,43631.0,,,8435.5
2004,Haricots (secs),472.0,159112.0,159112.0,49419.0,,,10423.5
2005,Haricots (secs),358.0,187944.0,187944.0,67359.0,,,11329.0
2006,Haricots (secs),461.0,186379.0,186379.0,52809.0,,,8466.5
2007,Haricots (secs),425.0,180299.0,180299.0,62942.0,,,10199.0
2008,Haricots (secs),430.0,193675.0,193675.0,67325.0,,,5230.0
2009,Haricots (secs),355.1794153,203747.5352,203747.5352,72366.93042,,,9870.5
2010,Haricots (secs),361.7466776,210617.0,210617.0,76190.0,,,24874.1
2011,Haricots (secs),369.0894522,207172.0,207172.0,76465.0,,,25854.9
2012,Haricots (secs),409.3087073,379711.48,379711.48,155419.21501,,,25861.2
2013,Haricots (secs),330.0694946,353266.0,353266.0,116602.0,,,34767.3
2014,Haricots (secs),460.351458,363935.9519,363935.9519,172119.362091225,,,36537.7
2015,Haricots (secs),490.7461952,361524.9628,361524.9628,177417.0,,,32970.0
2016,Haricots (secs),567.3113285,352694.829,352694.829,200087.772002,,,41704.45
2017,Haricots (secs),539.4388249,369567.3632,369567.3632,199358.9841,,,28109.75
2018,Haricots (secs),547.9549676,378775.0647,378775.0647,207551.6783,,,28109.75
2019,Haricots (secs),521.391001348108,388825.587197217,388825.587197217,202730.162258523,,,28109.75
2020,Haricots (secs),527.19398073246,383664.025751558,383664.025751558,202265.364999805,,,28109.75
2021,Haricots (secs),546.747144025743,387521.0,387521.0,211876.0,,,28109.75
2022,Haricots (secs),549.0,394376.0,394376.0,216518.0,,,28109.75
2000,Ignames,11340.0,51220.0,51220.0,563285.0,,,5730.0
2001,Ignames,10384.0,54048.0,54048.0,614962.0,,,5730.0
2002,Ignames,10752.0,54066.0,54066.0,574886.0,,,5080.0
2003,Ignames,10679.0,57967.0,57967.0,614962.0,,,8435.5
2004,Ignames,11018.0,56479.0,58010.0,636305.0,,,10423.5
2005,Ignames,10151.0,56709.0,57670.0,585427.0,,,11329.0
2006,Ignames,10341.0,60246.0,60246.0,621056.0,,,8466.5
2007,Ignames,10647.0,58431.0,58431.0,618212.0,,,10199.0
