Annee,Culture,Importations_Tonnes,Exportations_Tonnes,Pertes_Post_Recolte_Tonnes,Population_Agricole_Totale
2016,Manioc,78.0,1014.653,,4670666.666666667
2017,Manioc,78.0,546.235,,4785333.333333333
2018,Manioc,78.0,719.96,,4901666.666666667
2019,Manioc,78.0,968.852,,5018666.666666667
2020,Manioc,78.0,703.957,,5137333.333333333
2021,Manioc,78.0,534.518,,5257666.666666667
2022,Manioc,78.0,534.518,,5378333.333333333
2000,Maïs,46.0,15.0,1305.72642835667,4135000.0
2001,Maïs,46.0,15.0,1127.58120515767,4135000.0
2002,Maïs,46.0,15.0,1265.17724040253,4135000.0
2003,Maïs,46.0,15.0,1272.93898242508,4135000.0
2004,Maïs,46.0,15.0,1089.69260701201,4135000.0
2005,Maïs,46.0,15.0,1159.24920531263,4135000.0
2006,Maïs,46.0,15.0,1167.77137305978,4135000.0
2007,Maïs,46.0,15.0,1166.27509611277,4135000.0
2008,Maïs,46.0,15.0,1192.14374315648,4135000.0
2009,Maïs,46.0,15.0,1255.86540883749,4135000.0
2010,Maïs,46.0,15.0,1212.89604907125,4135000.0
2011,Maïs,46.0,15.0,1245.12799710693,4135000.0
2012,Maïs,46.0,15.0,1142.45732642327,4235333.333333333
2013,Maïs,46.0,15.0,924.357523408889,4339333.333333333
2014,Maïs,46.0,15.0,1195.89153559924,4446333.333333333
2015,Maïs,46.0,15.0,1389.54651633313,4557000.0
2016,Maïs,46.0,15.0,1223.52478800173,4670666.666666667
2017,Maïs,46.0,15.0,1230.79228529195,4785333.333333333
2018,Maïs,46.0,15.0,1239.56527792802,4901666.666666667
2019,Maïs,46.0,15.0,1227.11994865433,5018666.666666667
2020,Maïs,46.0,15.0,1226.02123245835,5137333.333333333
2021,Maïs,46.0,15.0,1226.02123245835,5257666.666666667
2022,Maïs,46.0,15.0,1226.02123245835,5378333.333333333
2000,Millet,0.0,0.0,,4135000.0
2001,Millet,0.0,0.0,,4135000.0
2002,Millet,2.5789473684210527,18.0,,4135000.0
2003,Millet,5.157894736842105,30.97142857142857,,4135000.0
2004,Millet,7.7368421052631575,43.94285714285714,,4135000.0
2005,Millet,10.31578947368421,56.91428571428571,,4135000.0
2006,Millet,12.894736842105264,69.88571428571429,,4135000.0
