"country","commodity","indicator","Unit","Date","Value"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2006","1155"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2007","1171"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2008","1192"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2009","1255.865409"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2010","1212.896049"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2011","1245.127997"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2012","1142"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2013","924.3575234"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2014","1195.891536"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2015","1389.546516"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2016","1223.524788"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2017","1230.792285"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2018","1239.565278"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2019","1227.11994865433"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2020","1227.11994865433"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2021","1230.18537130539"
"Togo","1.1.1.2. Maize","Yield on area harvested (Kg/Ha)","KG/HA","2022","1254"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2000","482052"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2001","464091"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2002","510060"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2003","537860"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2004","522561"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2005","509468"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2006","543343"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2007","546050"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2008","590104"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2009","651738.2235"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2010","868260.127"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2011","650740"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2012","862257.4314"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2013","692610"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2014","833043.693"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2015","794661"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2016","826895.981"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2017","854689.318"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2018","886629.9229"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2019","912085.542118198"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2020","885030.406662367"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2021","929020"
"Togo","1.1.1.2. Maize","Production on area harvested (Tons)","Tons","2022","957047"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2000","1305.72642835667"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2001","1127.58120515767"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2002","1265.17724040253"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2003","1272.93898242508"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2004","1089.69260701201"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2005","1159.24920531263"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2006","1167.77137305978"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2007","1166.27509611277"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2008","1192.14374315648"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2009","1255.86540883749"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2010","1212.89604907125"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2011","1245.12799710693"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2012","1142.45732642327"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2013","924.357523408889"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2014","1195.89153559924"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2015","1389.54651633313"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2016","1223.52478800173"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2017","1230.79228529195"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2018","1239.56527792802"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2019","1227.11994865433"
"Togo","1.1.1.2. Maize","Post harvest losses (Tons)","","2020","1226.02123245835"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2000","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2001","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2002","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2003","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2004","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2005","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2006","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2007","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2008","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2009","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2010","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2011","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2012","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2013","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2014","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2015","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2016","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2017","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2018","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2019","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2020","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2021","46"
"Togo","1.1.1.2. Maize","Imports (Tons)","Tons","2022","46"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2000","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2001","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2002","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2003","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2004","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2005","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2006","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2007","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2008","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2009","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2010","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2011","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2012","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2013","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2014","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2015","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2016","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2017","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2018","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2019","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2020","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2021","15"
"Togo","1.1.1.2. Maize","Exports (Tons)","Tons","2022","15"
"Togo","1.1.1.2. Maize","Seed (Tons)","Tons","2022","131.22"
"Togo","1.1.1.3. Barley","Imports (Tons)","","2001","0"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2000","181884"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2001","183674"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2002","195184"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2003","177277"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2004","167488"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2005","209754"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2006","215456"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2007","211779"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2008","213007"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2009","216435.52"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2010","202319"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2011","220917"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2012","345111"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2013","302123"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2014","313039.0604"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2015","304185"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2016","317189"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2017","315541.8763"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2018","318834.329"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2019","317825.988834573"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2020","311244.574553312"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2021","316034"
"Togo","1.1.1.4. Sorghum","Area planted (Ha)","Ha","2022","317571"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2000","181884"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2001","183674"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2002","195184"
"Togo","1.1.1.4. Sorghum","Area harvested (Ha)","Ha","2003","177277"
